"site","unit","id","RM","RMtext","RMcryst","RMcolour","cortex","cortype","alteration","class","subtype","form","orient","coretool","coreuse","type","RM2","assem","region","mis","mis2","levrem","mgmnt2","mgmnt","hier","plane","hinge","scarpat","latflkshp","termscar","latflkshp2","termshape","scarpat2","coreplats","cortcat","cof","lev","stage","form2","RM3","lat3","lat2","lat3.1","notesform","notes","notes2","lat","coresurfs","coreplats2","debdir","scardir","platfacets","totscar","epa","mld","maxw","maxth","length","proxw","medw","distw","medth","scarl","scarmaxw","scarproxw","scarmidw","scardistw","weight","cort","orient2","ss","elong","flat","flat2","flatstn","convg","scarelong","scarconvg","scratio","sdi"
"AdumaA5","Excav","1109","Lava","Intermediate","Apanaphic","Grey","41-60%","Cobble","Weathered","Coretool","PartialDisc","Expedient","Radial","BifChopper","Flks&Blds","Coretool","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Subcentripetal","Parallel","Indet","Parallel","Indet","Subcentripetal","Radial","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","1/3 of circum flked. Early radial or Bif core chopper","Thick oval shape","",10.42,2,0,3,3,0,9,85,157.25,91.32,64.77,157.25,63.75,91.32,60.9,61.44,49.97,29.19,22.25,29.19,21.56,907,50,1,95.9111845233721,1.72196671046868,2.55940755208333,116.862548828125,1.21844547545597,1.49950738916256,1.71188763275094,1.3538961038961,0.317774244833068,0.626737891946209
"AdumaA5","Excav.","1007","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Weathered","Core","Amorphous","Expedient","Multiface","Indet","Flakes","MultiPlat","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Perpendicular","Parallel","Hinge","Parallel","Indet","Other","3","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","Label=amorphous core.","1main plat w 3/4 circumf flk, another at 90 deg, plus flking on main plat surf","",10.42,4,3,2,2,1,12,110,100.95,98.7,63.72,73.66,98.7,97.79,81.08,61.53,55.32,98.7,46.82,38.08,43.64,798,25,0,76.243769298535,0.753246753246753,1.19713960669592,58.534141069397,0.767723600340438,1.20609274790331,1.45273109243697,0.872593950504125,0.751018191691556,1.66592361845718
"AdumaA5","Excav.","1010","Lava","Intermediate","Apanaphic","GreyDk","41-60%","Cobble","Fresh","Coretool","Amorphous","Expedient","Biface","BifChopper","Flakes","Coretool","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Unidirectional","Expanding","Indet","Expanding","Blunt/Round","Unidirectional","Radial","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","Bifacial flaking on broad faces","","",10.42,2,0,1,1,1,10,105,101.77,95.59,67.23,103.42,89.19,95.59,65.87,67.05,71.47,76.2,22.58,36.57,20.25,649,50,1,87.1910536234703,1.08191233392614,1.54243102162565,73.7204906785981,0.845505216589719,1.45119174130864,1.95433415367788,1.80592592592593,0.691065557919165,1.01153986936853
"AdumaA5","Excav","1103","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Weathered","Core","NoSubType","Expedient","Broadface","Indet","Flks&Blds","SinglePlat","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Unidirectional","Expanding","Step","Expanding","Blunt/Round","Unidirectional","1","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","","4 faces, 1 flaking surf, 1 lge scar on plat surf","non-standardized single plat",10.42,1,1,1,1,1,5,95,101.05,86.58,73.9,79.53,86.58,68.85,38.75,60.7,46.83,86.58,33.26,40.35,42.43,629,25,0,69.2693649379898,1.15511982570806,1.31021416803954,45.1041227347611,0.651140988157441,1.77677419354839,1.16059479553903,0.950978081546076,0.58883440211241,0.913135184824497
"AdumaA5","Excav","1196","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Weathered","Coretool","PartialDisc","Expedient","Biface","BifChopper","Flakes","Coretool","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Subcentripetal","Expanding","Indet","Expanding","Blunt/Round","Subcentripetal","Radial","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","Partial radial or Large Flat bif core-chopper. Flking not very invasive","","",10.42,2,0,3,3,2,12,85,126.07,97.14,33.3,125.69,79.05,95.3,89.36,30.88,30.82,97.14,28.61,38.75,38.07,584,25,1,71.7833363304658,1.31888772298006,4.07027202072539,193.948461787565,2.70185911803671,1.06647269471799,0.795354838709677,1.01786183346467,0.245206460338929,1.00181520566807
"AdumaA5","Excav","1134","Lava","Intermediate","Apanaphic","Grey","41-60%","Cobble","Fresh","Core","OpposedPlat","Expedient","Broadface","Indet","Flakes","Casual","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Opposed","Expanding","Step","Expanding","Blunt/Round","Opposed","2","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","opposed platform","Core attempt on lge splt cobble. Plat=almost all cortex Longest scar=52.76","52.76",10.42,1,2,2,2,0,7,90,106.92,105.71,35.02,97.92,85.91,100.48,64.65,32.18,29,98.2,34.43,31.63,17.53,531,50,0,68.1572967254266,0.974522292993631,3.04288377874456,152.874481044127,2.24296573351472,1.55421500386698,0.916851090736643,1.80433542498574,0.296160130718954,0.711454300403813
"AdumaA5","Excav","1224","Lava","Intermediate","Apanaphic","Grey","61-90%","Cobble","Weathered","Coretool","PartialDisc","Expedient","Biface","BifChopper","Flakes","Coretool","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Indet","Subcentripetal","Parallel","Indet","Parallel","Indet","Subcentripetal","Radial","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","Partial radial or core chopper?","EPA varies around margin from >65 to <90. half circum flked on plat, >70% on Debit surf","",10.42,2,0,3,3,1,14,70,100,84.21,49.86,101.2,45.53,79.26,60.6,49.36,39.14,79.33,33.8,38.24,43.64,485,75,1,73.4293883262964,1.27681049709816,2.05024311183144,81.2511345218801,1.10652065029912,1.30792079207921,1.02353556485356,0.876260311640697,0.386758893280632,1.74539390548343
"AdumaA5","Excav","1243","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Fresh","Core","NoSubType","Expedient","Radial","Indet","Flakes","Disc","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Recurrent","Lateral","Lateral","Tech","Oblique","Perpendicular","Unidirectional","Ovoid","Hinge","Ovoid","Indet","Unidirectional","Radial","Cortical","Nodule","LevLike",NA,"Expedient","Lava","North","North","North","Label=Lev approach","2nd dom scar/lgest scr lgth=49.21. LftDis corner lots of shping, but not elswhere.","",10.42,2,0,1,3,1,23,80,68.01,65.42,33.24,55.13,56.06,65.42,60.5,29.6,23.55,17.56,12.78,17.52,17.56,198.5,25,1,47.4384052833441,0.842708651788444,1.8625,60.922375,1.28424163156661,1.08132231404959,1.34417808219178,0.997722095671982,0.427172138581535,6.37718922667597
"AdumaA5","Excav","1271","Lava","Intermediate","Apanaphic","Grey","1-10%","Cobble","Weathered","Core","NoSubType","Expedient","Multiface","Indet","Flks&Blds","MultiPlat","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Acute","Other","Converge","Feather","Converge","Pointed","Other","4","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","Multiplat/multi face","","",10.42,4,4,1,0,1,7,90,65.11,54.59,41.29,49.26,54.47,54.59,47.31,39.44,35.73,54.59,26.84,23.71,10.73,185.8,5,0,47.334900588367,0.90236307015937,1.24898580121704,34.0910674442191,0.720209972355943,1.15387867258508,1.50695908899199,2.20969245107176,0.725334957369062,2.60309811813112
"AdumaA5","Surf.","0834","Lava","Intermediate","Apanaphic","GreyDk","1-10%","Cobble","WR","Core","NoSubType","Formal","Radial","Indet","Blades","Levallois","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Recurrent","UnidirPrep","Debordant","Vol&Tech","Parallel","Intermediate","Opposed","Parallel","Step","Parallel","Indet","Opposed","Radial","Cortical","Nodule","Levallois",NA,"Formal","Lava","North","North","North","Label=LevBld. Like bld opposed plat.","Little surf prep-uses previous bld rm, 1-2 poss bld/deb (A).","Plat surf worn/weath but radially prep/shp on at least 3 sides. No plat faceting. Flat deb surf",10.42,2,0,2,2,2,20,80,65.43,54.69,35.97,65.4,43.82,54.04,48.3,35.97,32.25,54.69,10.86,9.65,10.96,165.1,5,1,50.2818415906229,1.21021465581051,1.81818181818182,49.1272727272727,0.977038055353058,1.11884057971015,3.3419689119171,0.880474452554744,0.493119266055046,5.65896368529824
"AdumaA5","Excav","1111","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Weathered","Core","NoSubType","Expedient","Multiface","Indet","Flks&Blds","MultiPlat","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","None","None","No","Indet","Acute","Other","Trapezoid","Hinge","Parallel","Indet","Other","3","Cortical","Nodule","NonLev",NA,"Expedient","Lava","North","North","North","","2 broad faces either side of ridge, 2 opposed narrow/short faces.","Wedge shaped",10.42,3,3,1,0,1,4,85,59.31,50.86,39.51,59.31,36.93,50.86,45.83,37.81,41.15,50.86,18.9,24.64,21.49,162.2,25,0,48.4957468968213,1.16614235155328,1.56863263686855,39.8903279555673,0.822553120801237,1.10975343661357,1.6700487012987,1.14657980456026,0.693812173326589,1.32603721138883
"AdumaA5","Excav","1200","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Weathered","Core","NoSubType","Formal","Radial","Indet","Flakes","AsymDisc","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Recurrent","Indet","Indet","Vol&Tech","Parallel","Intermediate","Subcentripetal","Indet","Indet","Indet","Indet","Subcentripetal","Radial","Cortical","Nodule","LevLike",NA,"Formal","Lava","North","North","North","Label=Lev approach","Flat flking surf, hemispherical plat w short plat prep scars, 50% circum","V worn-can't read dor scrs.",10.42,2,0,3,3,2,12,85,62.11,54.25,28.95,62.11,44.76,54.25,28.75,28.23,35.58,26.89,19.95,21.91,11.91,123.9,25,1,45.6482412935882,1.14488479262673,2.20014169323415,59.6788434289763,1.3073634763966,1.88695652173913,1.62391602008215,1.83963056255248,0.572854612783771,3.56139360299513
"AdumaA5","Excav.","1311","Lava","Intermediate","Apanaphic","Grey","11-40%","Cobble","Fresh","Core","NoSubType","Formal?","Broadface","Indet","Blades","SinglePlat","Lava","AdumaA5.Lava","MidAwash","MIS5","MIS5/6","Indet","Ridge","LatRidge","No","Indet","Indet","Unidirectional","Parallel","Feather","Parallel","Indet","Unidirectional","1","Cortical","Nodule","NonLev",NA,"Formal","Lava","North","North","North","single plat tech but approaching Lev","Blade core, all frm sing.Plat, but morph=opposed plat(3Scrs), &flking on 1PlatLat (3Scrs)=subradprep","Cortical=1 plat lat and core 'back'",10.42,1,1,1,1,1,8,90,48.15,48.84,26.67,48.15,40.4,48.84,35.26,24.07,35.79,16.79,16.47,16.79,16.74,121.5,25,0,38.3957078942973,0.985872235872236,2.00041545492314,48.8501454092231,1.27228141082088,1.38513896766875,2.131625967838,1.00298685782557,0.743302180685358,3.40187256075107
